,reviews,verfied,verified,Cleaned Reviews
10,✅ Trip Verified |  Have no fear when your BA flight is operated by Finnair. The business class seats offer more leg room than the BA offering and the service just could not have been better. Food (BA) was good too. Excellent flight arriving so much ahead of schedule that there was a delay disembarking as there was no one available at LHR to pilot the bridge.,True,True,fear ba flight operated finnair business class seat offer leg room ba offering service could better food ba good excellent flight arriving much ahead schedule delay disembarking one available lhr pilot bridge
11,"Not Verified |  We have flown BA five times from western USA to England. Always decent service. Never again. If you have a problem their website is impossible to navigate. It’s terrible,  takes you in endless repeating circles and loops that never lead to any resolutions. They lost our suitcase. We spent hours upon our arrival in Lisbon trying to navigate their website. It was frustrating and fruitless. Three days into our trip and we still are waiting for our clothing and toiletries and electronics. Can we talk to a real person? No. It’s impossible. We have even quit thinking about the $396 we spent to secure seats in Economy that turned out to have no extra legroom. We paid $400 extra for nothing. We are done with BA. Whoops, not quite. We still have to get home.",False,False,verified flown ba five time western usa england always decent service never problem website impossible navigate terrible take endless repeating circle loop never lead resolution lost suitcase spent hour upon arrival lisbon trying navigate website frustrating fruitless three day trip still waiting clothing toiletry electronics talk real person impossible even quit thinking spent secure seat economy turned extra legroom paid extra nothing done ba whoop quite still get home
12,"✅ Trip Verified |  London Heathrow to Istanbul at the start of the half-term school holidays and so the flight was very busy indeed. Boarding was quite well managed with neatly presented and pleasant gate agents one of whom went out of her way to assist an elderly passenger with mobility issues. I felt singled out by a member of the BA crew who insisted that my small bag was taken and checked-in. Other passengers had large bags and were not stopped from taking them onto the flight. During the flight I felt that a staff member was very unprofessional towards me. I had an aisle seat and he spoke at length to the couple sitting next to me about their country of origin. I may as well have been invisible. The same member of the cabin crew then disappeared and returned with a selection of drinks and snacks from Business class for his compatriots. He managed to spill some liquid on me and did not even acknowledge me.  The A320 was clean, no IFE and not even a route-map to follow the journey. It was a rather clinical flight and exceptionally basic. I received a small bottle of water and two broken digestive biscuits. The wifi did not work and the ridiculous skyshop was not accessible either. I asked for a coffee and the cabin crew member kissed his teeth at me. Is this how low BA has fallen? I also noted tension between the same member of the cabin crew and 2 of his colleagues. This is not good enough. Disembarkation was remarkably orderly and civilized and the captain made an effort to engage with passengers during the flight with sensible updates.",True,True,london heathrow istanbul start half term school holiday flight busy indeed boarding quite well managed neatly presented pleasant gate agent one went way assist elderly passenger mobility issue felt singled member ba crew insisted small bag taken checked passenger large bag stopped taking onto flight flight felt staff member unprofessional towards aisle seat spoke length couple sitting next country origin may well invisible member cabin crew disappeared returned selection drink snack business class compatriot managed spill liquid even acknowledge clean ife even route map follow journey rather clinical flight exceptionally basic received small bottle water two broken digestive biscuit wifi work ridiculous skyshop accessible either asked coffee cabin crew member kissed teeth low ba fallen also noted tension member cabin crew colleague good enough disembarkation remarkably orderly civilized captain made effort engage passenger flight sensible update
13,"Not Verified | Jan 30th, I booked a last-minute, transatlantic flight to Ireland to attend a funeral for a close friend of mine. So, the nature of the trip was bad enough as it was. It was not a vacation for me. On the transatlantic leg of the flight, BA was the airline. It was a terrible experience. A baby was crying right next to me for a good portion of the flight. That’s not BA’s fault, but just to continue to set the stage. Mid-flight they had to close both the bathrooms in the middle of the plane. I was in seat 16J, right behind one of the bathrooms. They both started leaking sewage into the passenger compartment. I could see the water coming toward me and soon it was under my feet. As you can imagine, it didn’t smell great. It made a bad trip worse and got all over a new pair of boots. I contacted BA about this and explained in great detail what had happened. Their response was essentially, “Sorry about that”. I contacted them again to verify that this was the formal response. They responded by offering me a 50 euro voucher to use on a future BA flight, which has very little value to me, if any. I contacted them again, giving them another chance to make it right. Nothing. It’s not their fault that there was a screaming baby, nor is it their fault that the restrooms overflowed, created a disgusting mess, and soiled my boots. It is their fault that they made no effort to make it right. This is not just an inconvenience. It's a health and safety issue. As far as I can tell, I’m the only one who got sewage under my feet. I think this is completely unacceptable and will do everything I can to avoid flying BA in the future.",False,False,verified jan th booked last minute transatlantic flight ireland attend funeral close friend mine nature trip bad enough vacation transatlantic leg flight ba airline terrible experience baby cry right next good portion flight ba fault continue set stage mid flight close bathroom middle plane seat j right behind one bathroom started leaking sewage passenger compartment could see water coming toward soon foot imagine smell great made bad trip worse got new pair boot contacted ba explained great detail happened response essentially sorry contacted verify formal response responded offering euro voucher use future ba flight little value contacted giving another chance make right nothing fault screaming baby fault restroom overflowed created disgusting mess soiled boot fault made effort make right inconvenience health safety issue far tell one got sewage foot think completely unacceptable everything avoid flying ba future
14,"✅ Trip Verified | I am a British Airways Gold Guest List member (with Lifetime privileges). In spite of that I have given up Britsh wherever possible. I take ten or more trans ocean trips a year. I am fortunate to be able to fly First Class - unfortunately British no longer has a First Class product - the sell one by that name at First Class prices but in fairness deliver what you would consider a very good Business Class experience. I should point out that there are airlines who sell Business Class that in fact are better than any British First Class experience (Qatar, Emirates). I have flown many millions of miles on British. Last week I completed an around the world trip on Emirates and Qantas all A380. In the millions of BA miles I never had an experience as good as what I experience on EK and Qantas. A very long time ago the food and beverage service on BA was truly extraordinary - today it would be a bit of a stretch to even call it ordinary - so sad a decline. Seat comfort (in First), lounges food, beverage all need serious rework. If you are a First Class traveler British is just not an option. Sad, truly sad.",True,True,british airway gold guest list member lifetime privilege spite given britsh wherever possible take ten trans ocean trip year fortunate able fly first class unfortunately british longer first class product sell one name first class price fairness deliver would consider good business class experience point airline sell business class fact better british first class experience qatar emirate flown many million mile british last week completed around world trip emirate qantas million ba mile never experience good experience ek qantas long time ago food beverage service ba truly extraordinary today would bit stretch even call ordinary sad decline seat comfort first lounge food beverage need serious rework first class traveler british option sad truly sad
15,"Not Verified |  Another case of reviewing British Airways flights that they have not actually provided. I booked several months ago for London to Casablanca via Madrid (with the Madrid to Casablanca leg on Iberia), returning from Marrakech direct on BA. First the Marrakech flight was cancelled, so I had to rebook on Royal Air Maroc. Now BA has changed the London to Madrid leg to be operated by Iberia. So, instead of my booking through ba.com having 2 out of 3 legs operated by BA, I now have none of them being BA flights - and they did not transfer my paid-for seat selection on London to Madrid, so I have got to arrange a refund of the payment. What is the point of an airline offering a service and taking your money for that service, only to decide later that they cannot be bothered to provide what you have paid for in good faith? Only giving 1 out of 10 because I cannot mark it as zero to reflect the zero service received.",False,False,verified another case reviewing british airway flight actually provided booked several month ago london casablanca via madrid madrid casablanca leg iberia returning marrakech direct ba first marrakech flight cancelled rebook royal air maroc ba changed london madrid leg operated iberia instead booking ba com leg operated ba none ba flight transfer paid seat selection london madrid got arrange refund payment point airline offering service taking money service decide later cannot bothered provide paid good faith giving cannot mark zero reflect zero service received
16,"✅ Trip Verified | On the memorable day of January 9th, my family and I embarked on a journey from London Heathrow, Terminal 5, destined for Glasgow. Little did we anticipate the series of events that would unfold, shaping our travel experience into a tale of exceptional service and unwavering dedication. As we navigated the bustling corridors of the airport, our journey encountered an unexpected hurdle. It was at this juncture that I found myself grappling with booking complications, compounded by banking delays. Amid this quandary, I sought assistance from British Airways personnel at Terminal 5, hoping to salvage our travel plans. Enter Mr. Sathies, a beacon of hope amidst the chaos. With a demeanour exuding empathy and professionalism, Mr. Sathies swiftly assessed the situation at hand. Despite the setback, he wasted no time in springing into action, exploring every avenue to mitigate the impact of the unforeseen challenges we faced. The sequence of events unfolded with remarkable clarity as Mr Sathies tirelessly liaised with various stakeholders, including senior colleagues and his managerial counterpart, Mr Gurvir Singh Dhillon. Their collaborative efforts culminated in a solution that exceeded all expectations. Through Mr. Sathies' unwavering dedication and Mr. Gurvir Singh Dhillon's steadfast support, our travel arrangements were salvaged without incurring any additional costs. Despite the initial uncertainty, my family and I were able to proceed with our journey, embarking on our flight to Glasgow with a renewed sense of gratitude and appreciation for the exceptional service rendered by British Airways. As I reflect upon the precise sequence of events that transpired on that fateful day, I am filled with profound gratitude towards Mr. Sathies, Mr. Gurvir Singh Dhillon, and the entire British Airways team. Their meticulous attention to detail and unwavering commitment to customer satisfaction reaffirmed my faith in British Airways as a paragon of excellence within the aviation industry.",True,True,memorable day january th family embarked journey london heathrow terminal destined glasgow little anticipate series event would unfold shaping travel experience tale exceptional service unwavering dedication navigated bustling corridor airport journey encountered unexpected hurdle juncture found grappling booking complication compounded banking delay amid quandary sought assistance british airway personnel terminal hoping salvage travel plan enter mr sathies beacon hope amidst chaos demeanour exuding empathy professionalism mr sathies swiftly assessed situation hand despite setback wasted time springing action exploring every avenue mitigate impact unforeseen challenge faced sequence event unfolded remarkable clarity mr sathies tirelessly liaised various stakeholder including senior colleague managerial counterpart mr gurvir singh dhillon collaborative effort culminated solution exceeded expectation mr sathies unwavering dedication mr gurvir singh dhillon steadfast support travel arrangement salvaged without incurring additional cost despite initial uncertainty family able proceed journey embarking flight glasgow renewed sense gratitude appreciation exceptional service rendered british airway reflect upon precise sequence event transpired fateful day filled profound gratitude towards mr sathies mr gurvir singh dhillon entire british airway team meticulous attention detail unwavering commitment customer satisfaction reaffirmed faith british airway paragon excellence within aviation industry
17,"Not Verified | I did not actually get to fly with BA as they cancelled the flight with 3 days notice and refused to offer an acceptable alternative, resulting in 2 people losing their holiday (a river cruise). Since then, as appears to be their standard protocol, they have ignored every communication regarding their obligations for compensation and I have no option but to pursue them via official channels. ",False,False,verified actually get fly ba cancelled flight day notice refused offer acceptable alternative resulting people losing holiday river cruise since appears standard protocol ignored every communication regarding obligation compensation option pursue via official channel
18,"✅ Trip Verified | We had possibly the worse check-in experience ever this ever. It took nearly 50 minutes of phone calls and numerous staff to check us in for a redemption flight through our account. Utterly bizarre situation for a procedure we’ve done without hitch for the last 20 years. Once onboard we were so disappointed to have the old style Club World seats that meaning stepping over your fellow passengers to use the toilets. Why on earth are these still in use they feel so dated. The saving grace, as is quite often the case, was some fabulous cabin crew that were amazing. I have fed back to BA direct to sing their praises. Fingers crossed for the return leg.",True,True,possibly worse check experience ever ever took nearly minute phone call numerous staff check u redemption flight account utterly bizarre situation procedure done without hitch last year onboard disappointed old style club world seat meaning stepping fellow passenger use toilet earth still use feel dated saving grace quite often case fabulous cabin crew amazing fed back ba direct sing praise finger crossed return leg
19,"✅ Trip Verified |  I flew to LHR from ATH in Club Europe with BA641 on Dec 31 to transfer to a JAL flight back to Tokyo. At first, I had no great expectations of what services I would enjoy on board, partly because its flight time was less than 4 hours and because the seat configuration of Club Europe was the typical European Business Class with the middle seat empty. Afterward, on board, remembering that I took the same route with BA more than 30 years ago, I got to feel relaxed by their unobtrusive and courteous services. When I asked for a champagne refill a couple of times, a benign smile would come to me.",True,True,flew lhr ath club europe ba dec transfer jal flight back tokyo first great expectation service would enjoy board partly flight time le hour seat configuration club europe typical european business class middle seat empty afterward board remembering took route ba year ago got feel relaxed unobtrusive courteous service asked champagne refill couple time benign smile would come
20,"✅ Trip Verified |  I like the British Airways World Traveller Plus product. The seats are comfy and the food is good. The crew on this flight were very attentive and friendly especially the CSM who came round and introduced herself to us and made sure we were comfortable. The bars closed half way through the flight to Cancun as they can’t uplift more alcoholic drinks in Cancun. Juice, water, tea and coffee is available. Very full flight. My only criticisms of British Airways Premium Economy is that it feels like they actively try and split families up unless they pay the £100 each to pre book seats. The majority of drinks are served in plastic not glass. There were no inflight snacks available on an 11 hour flight. It’s an upgraded version of Economy, where as other airlines like Qantas and Singapore Airlines are Business minus. Still worth the extra though.",True,True,like british airway world traveller plus product seat comfy food good crew flight attentive friendly especially csm came round introduced u made sure comfortable bar closed half way flight cancun uplift alcoholic drink cancun juice water tea coffee available full flight criticism british airway premium economy feel like actively try split family unless pay pre book seat majority drink served plastic glass inflight snack available hour flight upgraded version economy airline like qantas singapore airline business minus still worth extra though
21,"✅ Trip Verified |  I have come to boarding and my cabin luggage was taken, ""because the plane is full"". I asked to take it to the cabin, because I have large notebook and  electronics in it, but nothing changes. So, now I am sitting in the plane, holding notebook and several packs from my luggage, and think of how I will stand with all this stuff in my hands in a passport control line in Warsaw. Other people around me have come to the plane with cabin luggage!",True,True,come boarding cabin luggage taken plane full asked take cabin large notebook electronics nothing change sitting plane holding notebook several pack luggage think stand stuff hand passport control line warsaw people around come plane cabin luggage
22,"✅ Trip Verified | Stinking nappies being changed in business cabin throughout flight to Miami. Four of us from one family were travelling British Airways business. I am a British Airways gold card member. I have been a member of British Airways Executive Club since 1979. We only ever fly British Airways, in first class or business class. It has become a habit to fly BA and we do this because we trust them for safety. We have regular long haul flights booked with British Airways in both first and business into next year. We often fly to the USA. Both my wife and I used to have Virgin Atlantic gold cards however we sadly returned to BA because Virgin did not have a first class seat product. Even so the service from virgin’s gold card department was off the scale, absolutely brilliant and we loved the Virgin lounge at Heathrow. Our flight to Miami with British Airways was on one of their double decker aircraft. These are just too big and I believe contributed to the appalling service. Perhaps familiarity breeds contempt however, whether in business or first, I now view BA aircraft as just being dirty buses in the sky. The food is not much better. However, our flight was distinguished by the smell of poo throughout the journey caused by mothers of babies, changing nappies within the business class cabin, instead of doing it where they should be doing it, in the WC. Try enjoying lunch with a glass of wine with air around permeated by the smell of poo. There must have been three or four babies, having nappies changed regularly in our cabin. I can put up with the screaming because that can’t be helped, but not poo. Cabin crew did nothing about it, despite being asked. I Telephoned BA customer services and ended up speaking to a lady in Manchester BA office who told me that she was BA cabin crew for many years. She told me that changing nappies in the cabin should not be allowed, that it is completely unacceptable and particularly awful while passengers are trying to enjoy a meal. My wife and I are flying first class British Airways again to the USA in April and we also have first class tickets to the USA booked for December. I sent in a complaint to BA customer relations on behalf of all four members of my family who travelled British Airways on December 19 to Miami from LHR and had to put up with the disgusting smells which at times were quite dreadful. I received a response offering a £300 voucher or 30,000 Avios. so, given the cost of four business class flights to Miami from London, British Airways value the loss of enjoyment through travelling in a stinking cabin, at £75 per passenger! Given that I am a gold card holder, an extremely good customer, clearly in the top one percent of all BA customers and a gold cardholder, if that is how they behave with me, God knows how they behave with everybody else. All I can tell you is that flying with Virgin Atlantic when I was a Gold member was highly positive. When our children were young, we used to fly BA first class at times and we would not dream of changing a nappy in the cabin! Not in any cabin! When I complained to British Airways, I asked them if changing of nappies in first class would be allowed during dinner service and they ignored the question. I have numerous business class flights booked with BA over the course of the next 12 months as well as first class flight booked. ",True,True,stinking nappy changed business cabin throughout flight miami four u one family travelling british airway business british airway gold card member member british airway executive club since ever fly british airway first class business class become habit fly ba trust safety regular long haul flight booked british airway first business next year often fly usa wife used virgin atlantic gold card however sadly returned ba virgin first class seat product even service virgin gold card department scale absolutely brilliant loved virgin lounge heathrow flight miami british airway one double decker aircraft big believe contributed appalling service perhaps familiarity breed contempt however whether business first view ba aircraft dirty bus sky food much better however flight distinguished smell poo throughout journey caused mother baby changing nappy within business class cabin instead wc try enjoying lunch glass wine air around permeated smell poo must three four baby nappy changed regularly cabin put screaming helped poo cabin crew nothing despite asked telephoned ba customer service ended speaking lady manchester ba office told ba cabin crew many year told changing nappy cabin allowed completely unacceptable particularly awful passenger trying enjoy meal wife flying first class british airway usa april also first class ticket usa booked december sent complaint ba customer relation behalf four member family travelled british airway december miami lhr put disgusting smell time quite dreadful received response offering voucher avios given cost four business class flight miami london british airway value loss enjoyment travelling stinking cabin per passenger given gold card holder extremely good customer clearly top one percent ba customer gold cardholder behave god know behave everybody else tell flying virgin atlantic gold member highly positive child young used fly ba first class time would dream changing nappy cabin cabin complained british airway asked changing nappy first class would allowed dinner service ignored question numerous business class flight booked ba course next month well first class flight booked
23,✅ Trip Verified | Worst service ever. Lost baggage because of delayed flight and missed connection and no one is helping to get it back. British Airways website is broken so it doesn’t let me fill missing report and doesn’t give me missing file report number and so no way to contact British Airways because they have dumbest ever AI chatbot.,True,True,worst service ever lost baggage delayed flight missed connection one helping get back british airway website broken let fill missing report give missing file report number way contact british airway dumbest ever ai chatbot
24,"✅ Trip Verified |  BA 246 21JAN 2023 Did not appreciate the unprofessional attitude of the pilots. Flight scheduled departure 16:20. Advised boarding time 15:20. Whole flight full of passengers waiting at the gate to board at 15:20. 15:40 the cabin crew board. 15:55 the pilots board - each with a Sao Paulo Airport Duty Free branded shopping bag. 16:20 the flight is still boarding. Finally pushes back just before 17:00, 40 minutes late. Captain came on the intercom to announce the delay was due to 'traffic between the crew hotel and the airport'. Sorry Captain the whole plane saw you and your pilot colleagues board fifteen minutes after the cabin crew clutching your duty free that you and your pilot colleagues still made time to stop for.",True,True,ba jan appreciate unprofessional attitude pilot flight scheduled departure advised boarding time whole flight full passenger waiting gate board cabin crew board pilot board sao paulo airport duty free branded shopping bag flight still boarding finally push back minute late captain came intercom announce delay due traffic crew hotel airport sorry captain whole plane saw pilot colleague board fifteen minute cabin crew clutching duty free pilot colleague still made time stop
25,"✅ Trip Verified | Not a great experience. I could not check in online as two separate parts of the BA computer system do not talk to each other. At LHR a delightful check in clerk sorted it quickly, manually! We boarded on time, but luggage loading had to be halted as the Captain spotted a technical issue and an engineer was called. By the time it was sorted we had missed our slot so took off an hour behind schedule. The flight was uneventful, but the plane had clearly seen better days, legroom was appalling and the handout of a small bottle of water and a soggy cookie made one wish for the days when flying BA meant something special. Next time it will be Jet2.",True,True,great experience could check online two separate part ba computer system talk lhr delightful check clerk sorted quickly manually boarded time luggage loading halted captain spotted technical issue engineer called time sorted missed slot took hour behind schedule flight uneventful plane clearly seen better day legroom appalling handout small bottle water soggy cookie made one wish day flying ba meant something special next time jet
